Date,EmpID,Gender,Age,EthnicGroup,FP,TermDate,isNewHire,BU Region,HireDate,PayType,TermReason,AgeGroup,TenureDays,TenureMonths,BadHires
12/1/2018,1568,M,20,Group F,PT,12/1/2014, ,North,8/21/2014,Hourly,Voluntary,<30,102,3.4,0
12/1/2018,1960,M,18,Group G,PT,12/2/2014, ,North,11/15/2014,Hourly,Voluntary,<30,17,0.57,1
12/1/2018,9218,M,19,Group E,PT,12/4/2014, ,North,11/13/2014,Hourly,Voluntary,<30,21,0.7,1
12/1/2018,13178,F,22,Group E,PT,12/5/2014, ,Central,11/12/2014,Hourly,Involuntary,<30,23,0.77,1
12/1/2018,13474,M,19,Group D,PT,12/5/2014, ,West,9/16/2014,Hourly,Involuntary,<30,80,2.67,0
12/1/2018,21870,F,21,Group C,PT,12/2/2014, ,North,9/13/2013,Hourly,Involuntary,<30,445,14.83,0
12/1/2018,22208,F,48,Group A,FT,12/2/2014, ,Central,10/17/2014,Salary,Voluntary,30-49,46,1.53,1
12/1/2018,40390,F,56,Group G,PT,, ,North,6/20/2014,Hourly, ,50+,164,5.47,0
12/1/2018,40404,F,19,Group A,PT,, ,North,6/26/2014,Hourly, ,<30,158,5.27,0
12/1/2018,40406,M,49,Group B,FT,, ,North,4/9/2005,Hourly, ,30-49,3523,117.43,0
12/1/2018,40416,F,20,Group C,FT,, ,North,5/21/2013,Hourly, ,<30,559,18.63,0
12/1/2018,40418,M,21,Group D,PT,, ,North,7/8/2014,Hourly, ,<30,146,4.87,0
12/1/2018,40428,M,29,Group D,PT,, ,North,8/27/2014,Hourly, ,<30,96,3.2,0
12/1/2018,40434,M,56,Group E,FT,, ,North,8/16/2012,Hourly, ,50+,837,27.9,0
12/1/2018,40440,F,20,Group G,PT,, ,North,10/1/2014,Hourly, ,<30,61,2.03,0
12/1/2018,40442,M,19,Group G,PT,, ,North,3/5/2014,Hourly, ,<30,271,9.03,0
12/1/2018,40452,M,47,Group A,PT,, ,North,10/16/2013,Hourly, ,30-49,411,13.7,0
12/1/2018,40456,M,58,Group E,PT,, ,North,6/10/2014,Hourly, ,50+,174,5.8,0
12/1/2018,40458,F,24,Group B,PT,, ,North,7/18/2014,Hourly, ,<30,136,4.53,0
12/1/2018,40462,F,20,Group A,PT,, ,North,9/19/2013,Hourly, ,<30,438,14.6,0
12/1/2018,40466,F,19,Group B,PT,, ,North,6/6/2014,Hourly, ,<30,178,5.93,0
12/1/2018,40472,F,57,Group E,FT,, ,North,5/18/2005,Hourly, ,50+,3484,116.13,0
12/1/2018,40478,M,22,Group C,PT,, ,North,6/22/2011,Hourly, ,<30,1258,41.93,0
12/1/2018,40480,F,21,Group F,PT,, ,North,9/12/2014,Hourly, ,<30,80,2.67,0
12/1/2018,40484,M,21,Group F,PT,, ,North,12/13/2011,Hourly, ,<30,1084,36.13,0
12/1/2018,40486,M,28,Group A,PT,, ,North,11/2/2011,Hourly, ,<30,1125,37.5,0
12/1/2018,40488,M,37,Group D,FT,, ,North,5/23/2011,Hourly, ,30-49,1288,42.93,0
12/1/2018,40492,F,19,Group D,PT,, ,North,11/20/2014,Hourly, ,<30,11,0.37,0
12/1/2018,40502,M,22,Group A,PT,, ,North,7/18/2014,Hourly, ,<30,136,4.53,0
12/1/2018,40504,F,21,Group B,PT,, ,North,11/12/2014,Hourly, ,<30,19,0.63,0
12/1/2018,40506,M,21,Group G,PT,, ,North,7/27/2012,Hourly, ,<30,857,28.57,0
12/1/2018,40514,F,20,Group F,PT,, ,North,8/21/2014,Hourly, ,<30,102,3.4,0
12/1/2018,40516,F,20,Group D,PT,, ,North,11/7/2014,Hourly, ,<30,24,0.8,0
12/1/2018,40520,F,21,Group G,PT,, ,North,11/15/2014,Hourly, ,<30,16,0.53,0
12/1/2018,40530,M,20,Group A,PT,, ,North,3/26/2014,Hourly, ,<30,250,8.33,0
12/1/2018,40542,M,47,Group D,PT,, ,North,6/21/2005,Hourly, ,30-49,3450,115,0
12/1/2018,40548,F,31,Group E,FT,, ,North,5/2/2007,Hourly, ,30-49,2770,92.33,0
12/1/2018,40554,M,68,Group C,PT,, ,North,2/23/2007,Hourly, ,50+,2838,94.6,0
12/1/2018,40560,M,20,Group G,PT,, ,North,11/2/2014,Hourly, ,<30,29,0.97,0
12/1/2018,40674,F,19,Group G,PT,, ,North,10/3/2014,Hourly, ,<30,59,1.97,0
12/1/2018,40684,M,21,Group F,PT,, ,North,9/18/2014,Hourly, ,<30,74,2.47,0
12/1/2018,40698,M,21,Group C,PT,, ,North,11/20/2014,Hourly, ,<30,11,0.37,0
12/1/2018,40702,F,21,Group D,PT,, ,North,9/10/2014,Hourly, ,<30,82,2.73,0
12/1/2018,40720,F,20,Group G,PT,, ,North,10/23/2014,Hourly, ,<30,39,1.3,0
12/1/2018,40728,F,36,Group C,PT,, ,North,10/30/2014,Hourly, ,30-49,32,1.07,0
12/1/2018,40748,F,20,Group F,PT,,Yes,North,12/5/2014,Hourly, ,<30,0,0,0
12/1/2018,40754,F,24,Group D,PT,, ,North,8/7/2008,Hourly, ,<30,2307,76.9,0
12/1/2018,40986,M,58,Group B,PT,, ,Midwest,10/24/2014,Hourly, ,50+,38,1.27,0
12/1/2018,41030,F,20,Group F,PT,, ,Midwest,5/16/2013,Hourly, ,<30,564,18.8,0
12/1/2018,41038,M,44,Group F,PT,, ,Midwest,3/16/2012,Hourly, ,30-49,990,33,0
12/1/2018,41042,F,37,Group D,PT,, ,Midwest,8/9/2013,Hourly, ,30-49,479,15.97,0
12/1/2018,41046,M,27,Group G,FT,, ,Midwest,4/17/2014,Hourly, ,<30,228,7.6,0
12/1/2018,41050,M,29,Group F,PT,, ,Midwest,12/29/2007,Hourly, ,<30,2529,84.3,0
12/1/2018,41058,F,24,Group C,PT,, ,Midwest,10/26/2011,Hourly, ,<30,1132,37.73,0
12/1/2018,41082,F,23,Group F,PT,, ,Midwest,2/18/2010,Hourly, ,<30,1747,58.23,0
12/1/2018,41090,M,19,Group G,PT,, ,Midwest,4/25/2014,Hourly, ,<30,220,7.33,0
12/1/2018,41104,M,19,Group D,PT,, ,Midwest,10/10/2014,Hourly, ,<30,52,1.73,0
12/1/2018,41288,F,22,Group B,FT,, ,Midwest,3/2/2012,Hourly, ,<30,1004,33.47,0
12/1/2018,41290,M,21,Group G,PT,, ,Midwest,2/12/2014,Hourly, ,<30,292,9.73,0
12/1/2018,41292,F,22,Group D,PT,, ,Midwest,11/3/2012,Hourly, ,<30,758,25.27,0
12/1/2018,41300,M,20,Group F,PT,, ,Midwest,11/18/2014,Hourly, ,<30,13,0.43,0
12/1/2018,41314,F,21,Group F,PT,, ,Midwest,6/6/2014,Hourly, ,<30,178,5.93,0
12/1/2018,41316,M,42,Group F,PT,, ,Midwest,6/25/2014,Hourly, ,30-49,159,5.3,0
12/1/2018,41332,M,26,Group G,FT,, ,Midwest,10/20/2009,Hourly, ,<30,1868,62.27,0
12/1/2018,41344,M,66,Group F,PT,, ,Midwest,8/30/2005,Hourly, ,50+,3380,112.67,0
12/1/2018,41372,F,31,Group G,FT,, ,Midwest,7/26/2013,Hourly, ,30-49,493,16.43,0
12/1/2018,41388,F,22,Group B,FT,, ,South,6/26/2013,Hourly, ,<30,523,17.43,0
12/1/2018,41390,M,40,Group B,PT,, ,South,8/16/2014,Hourly, ,30-49,107,3.57,0
12/1/2018,41394,M,42,Group G,PT,, ,South,6/14/2014,Hourly, ,30-49,170,5.67,0
12/1/2018,41396,F,19,Group C,PT,, ,South,4/27/2013,Hourly, ,<30,583,19.43,0
12/1/2018,41416,M,21,Group C,PT,, ,South,8/28/2013,Hourly, ,<30,460,15.33,0
12/1/2018,41420,M,20,Group C,PT,, ,South,4/18/2013,Hourly, ,<30,592,19.73,0
